metric,value
counts_by_cpc.A01C11/02,243
counts_by_cpc.A01C11/025,330
counts_by_cpc.A01C11/04,7
counts_by_cpc.A01C13/00,5
counts_by_cpc.A01C14/00,57
counts_by_cpc.A01C15/00,167
counts_by_cpc.A01C15/001,4
counts_by_cpc.A01C15/002,13
counts_by_cpc.A01C15/003,467
counts_by_cpc.A01C15/005,85
counts_by_cpc.A01C15/006,390
counts_by_cpc.A01C15/007,55
counts_by_cpc.A01C15/008,10
counts_by_cpc.A01C15/02,19
counts_by_cpc.A01C15/04,261
counts_by_cpc.A01C15/06,24
counts_by_cpc.A01C15/08,6
counts_by_cpc.A01C15/12,51
counts_by_cpc.A01C15/122,45
counts_by_cpc.A01C15/124,22
counts_by_cpc.A01C15/14,36
counts_by_cpc.A01C15/16,91
counts_by_cpc.A01C15/18,123
counts_by_cpc.A01C17/00,65
counts_by_cpc.A01C17/001,119
counts_by_cpc.A01C17/003,23
counts_by_cpc.A01C17/005,13
counts_by_cpc.A01C17/006,37
counts_by_cpc.A01C17/008,23
counts_by_cpc.A01C19/00,28
counts_by_cpc.A01C19/02,133
counts_by_cpc.A01C19/04,14
counts_by_cpc.A01C2001/048,38
counts_by_cpc.A01C21/00,120
counts_by_cpc.A01C21/002,44
counts_by_cpc.A01C21/005,189
counts_by_cpc.A01C21/007,40
counts_by_cpc.A01C23/00,42
counts_by_cpc.A01C23/001,2
counts_by_cpc.A01C23/002,8
counts_by_cpc.A01C23/003,17
counts_by_cpc.A01C23/005,3
counts_by_cpc.A01C23/006,1
counts_by_cpc.A01C23/007,70
counts_by_cpc.A01C23/008,63
counts_by_cpc.A01C23/02,1
counts_by_cpc.A01C23/022,2
counts_by_cpc.A01C23/023,3
counts_by_cpc.A01C23/024,17
counts_by_cpc.A01C23/025,1
counts_by_cpc.A01C23/027,2
counts_by_cpc.A01C23/04,25
counts_by_cpc.A01C23/042,87
counts_by_cpc.A01C23/045,9
counts_by_cpc.A01C23/047,79
counts_by_cpc.A01C3/00,5
counts_by_cpc.A01C3/02,9
counts_by_cpc.A01C3/021,1
counts_by_cpc.A01C3/023,2
counts_by_cpc.A01C3/026,13
counts_by_cpc.A01C3/04,118
counts_by_cpc.A01C3/06,40
counts_by_cpc.A01C3/063,20
counts_by_cpc.A01C3/066,17
counts_by_cpc.A01C5/00,3
counts_by_cpc.A01C5/02,15
counts_by_cpc.A01C5/04,108
counts_by_cpc.A01C5/045,7
counts_by_cpc.A01C5/06,15
counts_by_cpc.A01C5/062,72
counts_by_cpc.A01C5/064,45
counts_by_cpc.A01C5/066,44
counts_by_cpc.A01C5/068,53
counts_by_cpc.A01C5/08,7
counts_by_cpc.A01C7/00,122
counts_by_cpc.A01C7/002,46
counts_by_cpc.A01C7/004,31
counts_by_cpc.A01C7/006,4
counts_by_cpc.A01C7/008,32
counts_by_cpc.A01C7/02,23
counts_by_cpc.A01C7/04,277
counts_by_cpc.A01C7/042,54
counts_by_cpc.A01C7/044,91
counts_by_cpc.A01C7/0443,149
counts_by_cpc.A01C7/0445,226
counts_by_cpc.A01C7/046,296
counts_by_cpc.A01C7/048,1
counts_by_cpc.A01C7/06,183
counts_by_cpc.A01C7/08,150
counts_by_cpc.A01C7/081,566
counts_by_cpc.A01C7/082,408
counts_by_cpc.A01C7/084,238
counts_by_cpc.A01C7/085,77
counts_by_cpc.A01C7/087,11
counts_by_cpc.A01C7/088,67
counts_by_cpc.A01C7/10,138
counts_by_cpc.A01C7/102,388
counts_by_cpc.A01C7/105,233
counts_by_cpc.A01C7/107,35
counts_by_cpc.A01C7/12,55
counts_by_cpc.A01C7/121,25
counts_by_cpc.A01C7/122,18
counts_by_cpc.A01C7/123,22
counts_by_cpc.A01C7/124,61
counts_by_cpc.A01C7/125,58
counts_by_cpc.A01C7/126,13
